ID,age,gender,English,condition,voice,motion,character,answerPleasant,answerHumanlike
1,20,Female,Fluent,NId_TTS,TTS,NId,Human,3,2
1,20,Female,Fluent,NId_TTS,TTS,NId,Human,2,3
1,20,Female,Fluent,NId_Voice,Voice,NId,Human,6,5
1,20,Female,Fluent,NId_Voice,Voice,NId,Human,4,5
1,20,Female,Fluent,RL_TTS,TTS,RL,Human,3,2
1,20,Female,Fluent,RL_TTS,TTS,RL,Human,4,3
1,20,Female,Fluent,RL_Voice,Voice,RL,Human,3,2
1,20,Female,Fluent,RL_Voice,Voice,RL,Human,5,5
1,20,Female,Fluent,RN_TTS,TTS,RN,Human,2,2
1,20,Female,Fluent,RN_TTS,TTS,RN,Human,2,2
1,20,Female,Fluent,RN_Voice,Voice,RN,Human,6,6
1,20,Female,Fluent,RN_Voice,Voice,RN,Human,5,3
1,20,Female,Fluent,NMo_TTS,TTS,NMo,Human,4,2
1,20,Female,Fluent,NMo_TTS,TTS,NMo,Human,4,5
1,20,Female,Fluent,NMo_Voice,Voice,NMo,Human,5,5
1,20,Female,Fluent,NMo_Voice,Voice,NMo,Human,5,6
1,20,Female,Fluent,NId_TTS_Kyle,TTS,NId,Robot,3,2
1,20,Female,Fluent,NId_TTS_Kyle,TTS,NId,Robot,2,3
1,20,Female,Fluent,NId_Voice_Kyle,Voice,NId,Robot,4,3
1,20,Female,Fluent,NId_Voice_Kyle,Voice,NId,Robot,5,4
1,20,Female,Fluent,RL_TTS_Kyle,TTS,RL,Robot,4,3
1,20,Female,Fluent,RL_TTS_Kyle,TTS,RL,Robot,3,1
1,20,Female,Fluent,RL_Voice_Kyle,Voice,RL,Robot,6,4
1,20,Female,Fluent,RL_Voice_Kyle,Voice,RL,Robot,4,3
1,20,Female,Fluent,RN_TTS_Kyle,TTS,RN,Robot,3,2
1,20,Female,Fluent,RN_TTS_Kyle,TTS,RN,Robot,4,3
1,20,Female,Fluent,RN_Voice_Kyle,Voice,RN,Robot,5,6
1,20,Female,Fluent,RN_Voice_Kyle,Voice,RN,Robot,5,4
1,20,Female,Fluent,NMo_TTS_Kyle,TTS,NMo,Robot,3,3
1,20,Female,Fluent,NMo_TTS_Kyle,TTS,NMo,Robot,4,3
1,20,Female,Fluent,NMo_Voice_Kyle,Voice,NMo,Robot,7,7
1,20,Female,Fluent,NMo_Voice_Kyle,Voice,NMo,Robot,7,7
2,24,Female,Good,NId_TTS,TTS,NId,Human,1,1
2,24,Female,Good,NId_TTS,TTS,NId,Human,1,2
2,24,Female,Good,NId_Voice,Voice,NId,Human,6,6
2,24,Female,Good,NId_Voice,Voice,NId,Human,6,7
2,24,Female,Good,RL_TTS,TTS,RL,Human,2,1
2,24,Female,Good,RL_TTS,TTS,RL,Human,1,1
2,24,Female,Good,RL_Voice,Voice,RL,Human,5,6
2,24,Female,Good,RL_Voice,Voice,RL,Human,6,5
2,24,Female,Good,RN_TTS,TTS,RN,Human,2,1
2,24,Female,Good,RN_TTS,TTS,RN,Human,1,1
2,24,Female,Good,RN_Voice,Voice,RN,Human,5,6
2,24,Female,Good,RN_Voice,Voice,RN,Human,6,7
2,24,Female,Good,NMo_TTS,TTS,NMo,Human,1,1
2,24,Female,Good,NMo_TTS,TTS,NMo,Human,3,2
2,24,Female,Good,NMo_Voice,Voice,NMo,Human,7,7
2,24,Female,Good,NMo_Voice,Voice,NMo,Human,6,7
2,24,Female,Good,NId_TTS_Kyle,TTS,NId,Robot,1,1
2,24,Female,Good,NId_TTS_Kyle,TTS,NId,Robot,1,1
2,24,Female,Good,NId_Voice_Kyle,Voice,NId,Robot,5,5
2,24,Female,Good,NId_Voice_Kyle,Voice,NId,Robot,3,3
2,24,Female,Good,RL_TTS_Kyle,TTS,RL,Robot,1,1
2,24,Female,Good,RL_TTS_Kyle,TTS,RL,Robot,1,1
2,24,Female,Good,RL_Voice_Kyle,Voice,RL,Robot,5,3
2,24,Female,Good,RL_Voice_Kyle,Voice,RL,Robot,5,3
2,24,Female,Good,RN_TTS_Kyle,TTS,RN,Robot,1,1
2,24,Female,Good,RN_TTS_Kyle,TTS,RN,Robot,4,3
2,24,Female,Good,RN_Voice_Kyle,Voice,RN,Robot,4,3
2,24,Female,Good,RN_Voice_Kyle,Voice,RN,Robot,3,3
2,24,Female,Good,NMo_TTS_Kyle,TTS,NMo,Robot,2,1
2,24,Female,Good,NMo_TTS_Kyle,TTS,NMo,Robot,2,3
2,24,Female,Good,NMo_Voice_Kyle,Voice,NMo,Robot,4,3
2,24,Female,Good,NMo_Voice_Kyle,Voice,NMo,Robot,3,2
3,21,Female,Very good,NId_TTS,TTS,NId,Human,3,4
3,21,Female,Very good,NId_TTS,TTS,NId,Human,3,4
3,21,Female,Very good,NId_Voice,Voice,NId,Human,4,4
3,21,Female,Very good,NId_Voice,Voice,NId,Human,3,4
3,21,Female,Very good,RL_TTS,TTS,RL,Human,4,4
3,21,Female,Very good,RL_TTS,TTS,RL,Human,4,4
3,21,Female,Very good,RL_Voice,Voice,RL,Human,3,4
3,21,Female,Very good,RL_Voice,Voice,RL,Human,4,4
3,21,Female,Very good,RN_TTS,TTS,RN,Human,3,4
3,21,Female,Very good,RN_TTS,TTS,RN,Human,5,4
3,21,Female,Very good,RN_Voice,Voice,RN,Human,2,4
3,21,Female,Very good,RN_Voice,Voice,RN,Human,3,4
3,21,Female,Very good,NMo_TTS,TTS,NMo,Human,4,4
3,21,Female,Very good,NMo_TTS,TTS,NMo,Human,2,4
3,21,Female,Very good,NMo_Voice,Voice,NMo,Human,5,4
3,21,Female,Very good,NMo_Voice,Voice,NMo,Human,3,4
3,21,Female,Very good,NId_TTS_Kyle,TTS,NId,Robot,4,1
3,21,Female,Very good,NId_TTS_Kyle,TTS,NId,Robot,4,4
3,21,Female,Very good,NId_Voice_Kyle,Voice,NId,Robot,4,1
3,21,Female,Very good,NId_Voice_Kyle,Voice,NId,Robot,4,1
3,21,Female,Very good,RL_TTS_Kyle,TTS,RL,Robot,3,1
3,21,Female,Very good,RL_TTS_Kyle,TTS,RL,Robot,3,1
3,21,Female,Very good,RL_Voice_Kyle,Voice,RL,Robot,2,1
3,21,Female,Very good,RL_Voice_Kyle,Voice,RL,Robot,3,1
3,21,Female,Very good,RN_TTS_Kyle,TTS,RN,Robot,4,1
3,21,Female,Very good,RN_TTS_Kyle,TTS,RN,Robot,4,1
3,21,Female,Very good,RN_Voice_Kyle,Voice,RN,Robot,3,1
3,21,Female,Very good,RN_Voice_Kyle,Voice,RN,Robot,4,1
3,21,Female,Very good,NMo_TTS_Kyle,TTS,NMo,Robot,4,1
3,21,Female,Very good,NMo_TTS_Kyle,TTS,NMo,Robot,3,1
3,21,Female,Very good,NMo_Voice_Kyle,Voice,NMo,Robot,4,1
3,21,Female,Very good,NMo_Voice_Kyle,Voice,NMo,Robot,3,1
4,18,Male,Fluent,NId_TTS,TTS,NId,Human,4,5
4,18,Male,Fluent,NId_TTS,TTS,NId,Human,3,3
4,18,Male,Fluent,NId_Voice,Voice,NId,Human,5,6
4,18,Male,Fluent,NId_Voice,Voice,NId,Human,5,6
4,18,Male,Fluent,RL_TTS,TTS,RL,Human,3,1
4,18,Male,Fluent,RL_TTS,TTS,RL,Human,6,5
4,18,Male,Fluent,RL_Voice,Voice,RL,Human,3,2
4,18,Male,Fluent,RL_Voice,Voice,RL,Human,5,5
4,18,Male,Fluent,RN_TTS,TTS,RN,Human,4,2
4,18,Male,Fluent,RN_TTS,TTS,RN,Human,4,5
4,18,Male,Fluent,RN_Voice,Voice,RN,Human,5,6
4,18,Male,Fluent,RN_Voice,Voice,RN,Human,5,7
4,18,Male,Fluent,NMo_TTS,TTS,NMo,Human,6,3
4,18,Male,Fluent,NMo_TTS,TTS,NMo,Human,5,4
4,18,Male,Fluent,NMo_Voice,Voice,NMo,Human,5,5
4,18,Male,Fluent,NMo_Voice,Voice,NMo,Human,6,7
4,18,Male,Fluent,NId_TTS_Kyle,TTS,NId,Robot,3,2
4,18,Male,Fluent,NId_TTS_Kyle,TTS,NId,Robot,5,5
4,18,Male,Fluent,NId_Voice_Kyle,Voice,NId,Robot,5,5
4,18,Male,Fluent,NId_Voice_Kyle,Voice,NId,Robot,3,5
4,18,Male,Fluent,RL_TTS_Kyle,TTS,RL,Robot,3,3
4,18,Male,Fluent,RL_TTS_Kyle,TTS,RL,Robot,2,1
4,18,Male,Fluent,RL_Voice_Kyle,Voice,RL,Robot,3,1
4,18,Male,Fluent,RL_Voice_Kyle,Voice,RL,Robot,5,4
4,18,Male,Fluent,RN_TTS_Kyle,TTS,RN,Robot,3,2
4,18,Male,Fluent,RN_TTS_Kyle,TTS,RN,Robot,2,2
4,18,Male,Fluent,RN_Voice_Kyle,Voice,RN,Robot,5,6
4,18,Male,Fluent,RN_Voice_Kyle,Voice,RN,Robot,4,3
4,18,Male,Fluent,NMo_TTS_Kyle,TTS,NMo,Robot,5,6
4,18,Male,Fluent,NMo_TTS_Kyle,TTS,NMo,Robot,5,3
4,18,Male,Fluent,NMo_Voice_Kyle,Voice,NMo,Robot,5,6
4,18,Male,Fluent,NMo_Voice_Kyle,Voice,NMo,Robot,4,6
5,34,Unanswered,Native Speaker,NId_TTS,TTS,NId,Human,4,2
5,34,Unanswered,Native Speaker,NId_TTS,TTS,NId,Human,4,4
5,34,Unanswered,Native Speaker,NId_Voice,Voice,NId,Human,5,6
5,34,Unanswered,Native Speaker,NId_Voice,Voice,NId,Human,5,6
5,34,Unanswered,Native Speaker,RL_TTS,TTS,RL,Human,5,3
5,34,Unanswered,Native Speaker,RL_TTS,TTS,RL,Human,4,3
5,34,Unanswered,Native Speaker,RL_Voice,Voice,RL,Human,5,2
5,34,Unanswered,Native Speaker,RL_Voice,Voice,RL,Human,4,3
5,34,Unanswered,Native Speaker,RN_TTS,TTS,RN,Human,4,4
5,34,Unanswered,Native Speaker,RN_TTS,TTS,RN,Human,4,3
5,34,Unanswered,Native Speaker,RN_Voice,Voice,RN,Human,4,3
5,34,Unanswered,Native Speaker,RN_Voice,Voice,RN,Human,5,5
