ID,age,gender,English,condition,voice,motion,character,answer
1,23,Female,Fluent,NId_TTS,TTS,NId,Human,5
1,23,Female,Fluent,NId_TTS,TTS,NId,Human,6
1,23,Female,Fluent,NId_Voice,Voice,NId,Human,5
1,23,Female,Fluent,NId_Voice,Voice,NId,Human,5
1,23,Female,Fluent,RL_TTS,TTS,RL,Human,2
1,23,Female,Fluent,RL_TTS,TTS,RL,Human,2
1,23,Female,Fluent,RL_Voice,Voice,RL,Human,5
1,23,Female,Fluent,RL_Voice,Voice,RL,Human,4
1,23,Female,Fluent,RN_TTS,TTS,RN,Human,3
1,23,Female,Fluent,RN_TTS,TTS,RN,Human,5
1,23,Female,Fluent,RN_Voice,Voice,RN,Human,6
1,23,Female,Fluent,RN_Voice,Voice,RN,Human,5
1,23,Female,Fluent,NMo_TTS,TTS,NMo,Human,5
1,23,Female,Fluent,NMo_TTS,TTS,NMo,Human,5
1,23,Female,Fluent,NMo_Voice,Voice,NMo,Human,6
1,23,Female,Fluent,NMo_Voice,Voice,NMo,Human,6
1,23,Female,Fluent,NId_TTS_Kyle,TTS,NId,Robot,6
1,23,Female,Fluent,NId_TTS_Kyle,TTS,NId,Robot,5
1,23,Female,Fluent,NId_Voice_Kyle,Voice,NId,Robot,5
1,23,Female,Fluent,NId_Voice_Kyle,Voice,NId,Robot,6
1,23,Female,Fluent,RL_TTS_Kyle,TTS,RL,Robot,3
1,23,Female,Fluent,RL_TTS_Kyle,TTS,RL,Robot,5
1,23,Female,Fluent,RL_Voice_Kyle,Voice,RL,Robot,5
1,23,Female,Fluent,RL_Voice_Kyle,Voice,RL,Robot,5
1,23,Female,Fluent,RN_TTS_Kyle,TTS,RN,Robot,5
1,23,Female,Fluent,RN_TTS_Kyle,TTS,RN,Robot,5
1,23,Female,Fluent,RN_Voice_Kyle,Voice,RN,Robot,6
1,23,Female,Fluent,RN_Voice_Kyle,Voice,RN,Robot,7
1,23,Female,Fluent,NMo_TTS_Kyle,TTS,NMo,Robot,5
1,23,Female,Fluent,NMo_TTS_Kyle,TTS,NMo,Robot,5
1,23,Female,Fluent,NMo_Voice_Kyle,Voice,NMo,Robot,7
1,23,Female,Fluent,NMo_Voice_Kyle,Voice,NMo,Robot,7
2,21,Female,Fluent,NId_TTS,TTS,NId,Human,5
2,21,Female,Fluent,NId_TTS,TTS,NId,Human,4
2,21,Female,Fluent,NId_Voice,Voice,NId,Human,7
2,21,Female,Fluent,NId_Voice,Voice,NId,Human,6
2,21,Female,Fluent,RL_TTS,TTS,RL,Human,2
2,21,Female,Fluent,RL_TTS,TTS,RL,Human,2
2,21,Female,Fluent,RL_Voice,Voice,RL,Human,3
2,21,Female,Fluent,RL_Voice,Voice,RL,Human,2
2,21,Female,Fluent,RN_TTS,TTS,RN,Human,1
2,21,Female,Fluent,RN_TTS,TTS,RN,Human,5
2,21,Female,Fluent,RN_Voice,Voice,RN,Human,3
2,21,Female,Fluent,RN_Voice,Voice,RN,Human,7
2,21,Female,Fluent,NMo_TTS,TTS,NMo,Human,6
2,21,Female,Fluent,NMo_TTS,TTS,NMo,Human,7
2,21,Female,Fluent,NMo_Voice,Voice,NMo,Human,7
2,21,Female,Fluent,NMo_Voice,Voice,NMo,Human,7
2,21,Female,Fluent,NId_TTS_Kyle,TTS,NId,Robot,5
2,21,Female,Fluent,NId_TTS_Kyle,TTS,NId,Robot,1
2,21,Female,Fluent,NId_Voice_Kyle,Voice,NId,Robot,7
2,21,Female,Fluent,NId_Voice_Kyle,Voice,NId,Robot,7
